Title,Price,Make,Model,YOM,Mileage (km),Gear,Fuel Type,Engine (cc),URL
Nissan SUNNY FB15 EX Saloon Model 2003 Car (Used),"Rs. 4,700,000",,,,,,,,https://riyasewana.com/buy/nissan-sunny-fb15-sale-colombo-11232048
Nissan FB13 Doctor Sunny Super Saloon 1996 Car (Used),"Rs. 2,200,000",,,,,,,,https://riyasewana.com/buy/nissan-fb13-doctor-sale-kurunegala-11232021
Suzuki Alto 2006 Car (Used),"Rs. 2,650,000",,,,,,,,https://riyasewana.com/buy/suzuki-alto-sale-kurunegala-11232017
Toyota Yaris 2008 Car (Used),"Rs. 6,050,000",Toyota,Yaris,2008,158300,Automatic,Petrol,1300,https://riyasewana.com/buy/toyota-yaris-sale-matara-11241356
Toyota Allion 260 2010 Car (Used),"Rs. 8,700,000",Toyota,Allion 260,2010,180500,Automatic,Petrol,1500,https://riyasewana.com/buy/toyota-allion-260-sale-gampaha-11241349
Daihatsu Taft 2025 Car Unregistered (Recondition),"Rs. 8,690,000",Daihatsu,Taft,2025,45,Automatic,Petrol,660,https://riyasewana.com/buy/daihatsu-taft-sale-colombo-11241323
Toyota Corolla 110CE 1998 Car (Used),"Rs. 3,095,000",Toyota,Corolla 110CE,1998,334925,Manual,Diesel,2000,https://riyasewana.com/buy/toyota-corolla-110ce-sale-embilipitiya-11241326
Suzuki Maruti 2005 Car (Used),"Rs. 1,775,000",,,,,,,,https://riyasewana.com/buy/suzuki-maruti-sale-ambalangoda-11231989
Honda ES1 2003 Car (Used),"Rs. 5,375,000",Honda,ES1,2003,212647,Automatic,Petrol,1500,https://riyasewana.com/buy/honda-es1-sale-colombo-11241319
Toyota Axio 2015 Car (Used),"Rs. 10,250,000",,,,,,,,https://riyasewana.com/buy/toyota-axio-sale-kurunegala-11232005
Suzuki Wagon R Fz 2014 Car (Used),"Rs. 5,450,000",,,,,,,,https://riyasewana.com/buy/suzuki-wagon-r-sale-pannipitiya-11231986
Nissan Trad Sunny FB12 1988 Car (Used),Negotiable,,,,,,,,https://riyasewana.com/buy/nissan-trad-sunny-sale-embilipitiya-11231988
Suzuki Swift VXI 2011 Car (Used),Negotiable,,,,,,,,https://riyasewana.com/buy/suzuki-swift-vxi-sale-kaduwela-11231979
Mazda Familia 323 Limited 2000 Car (Used),Negotiable,Mazda,Familia 323 Limited,2000,185000,Automatic,Petrol,1500,https://riyasewana.com/buy/mazda-familia-323-sale-wattala-11241317
Mitsubishi Lancer Box 5fd 1982 Car (Used),"Rs. 965,000",Mitsubishi,Lancer Box 5fd,1982,1,Manual,Petrol,1400,https://riyasewana.com/buy/mitsubishi-lancer-box-sale-kesbewa-11241311
Suzuki Wagon R 2017 Car (Used),"Rs. 6,350,000",Suzuki,Wagon R,2017,87000,Automatic,Petrol,-,https://riyasewana.com/buy/suzuki-wagon-r-sale-galle-11241310
Toyota Vitz Edition 2 2018 Car (Used),"Rs. 8,000,000",Toyota,Vitz Edition 2,2018,55675,Automatic,Petrol,1000,https://riyasewana.com/buy/toyota-vitz-edition-sale-kaduwela-11241301
BMW 318i 2018 Car (Used),"Rs. 21,000,000",,,,,,,,https://riyasewana.com/buy/bmw-318i-sale-ja-ela-11231978
Suzuki Alto Japan 2006 Car (Used),"Rs. 3,350,000 (Ongoing Lease)",Suzuki,Alto Japan,2006,171000,Automatic,Petrol,650,https://riyasewana.com/buy/suzuki-alto-japan-sale-colombo-11241308
Toyota Dx Wagon 1986 Car (Used),"Rs. 1,675,000",,,,,,,,https://riyasewana.com/buy/toyota-dx-wagon-sale-matale-11231976
Nissan FB15 Ex Saloon 2000 Car (Used),"Rs. 3,970,000",,,,,,,,https://riyasewana.com/buy/nissan-fb15-ex-sale-badulla-11231957
Toyota Aqua S Limited Edison 2016 Car (Used),"Rs. 7,700,000",,,,,,,,https://riyasewana.com/buy/toyota-aqua-s-sale-gampaha-11231975
Daihatsu Taft 2025 Car (Used),"Rs. 8,450,000",,,,,,,,https://riyasewana.com/buy/daihatsu-taft-sale-colombo-11231935
Toyota NZE121 2003 Car (Used),"Rs. 6,050,000",Toyota,NZE121,2003,235000,Automatic,Petrol,1500,https://riyasewana.com/buy/toyota-nze121-sale-homagama-11241300
Toyota Corolla KE50 1980 Car (Used),"Rs. 625,000",Toyota,Corolla KE50,1980,12345,Manual,Petrol,1200,https://riyasewana.com/buy/toyota-corolla-ke50-sale-malabe-11241297
Mercedes-Benz E200 2010 Car (Used),"Rs. 15,500,000",Mercedes-Benz,E200,2010,137000,Automatic,Petrol,1800,https://riyasewana.com/buy/mercedes-benz-e200-sale-katunayake-11241294
Perodua Kelisa 2006 Car (Used),"Rs. 3,525,000",Perodua,Kelisa,2006,141000,Automatic,Petrol,1000,https://riyasewana.com/buy/perodua-kelisa-sale-colombo-11241288
Suzuki Maruti 2007 Car (Used),"Rs. 1,850,000",,,,,,,,https://riyasewana.com/buy/suzuki-maruti-sale-negombo-11231932
Nissan Bluebird SU14 1996 Car (Used),Negotiable,Nissan,Bluebird SU14,1996,160000,Manual,Diesel,1970,https://riyasewana.com/buy/nissan-bluebird-su14-sale-kadugannawa-11241268
Toyota VITZ VVTI ENGINE 2004 Car (Used),"Rs. 3,975,000",,,,,,,,https://riyasewana.com/buy/toyota-vitz-vvti-sale-dehiwala-mount-lavinia-11231927
Nissan Ad Wagon 2000 Car (Used),"Rs. 3,095,000",Nissan,Ad Wagon,2000,180,Automatic,Petrol,1330,https://riyasewana.com/buy/nissan-ad-wagon-sale-gampaha-11241266
Suzuki Alto Japan 2016 Car (Used),"Rs. 5,050,000",,,,,,,,https://riyasewana.com/buy/suzuki-alto-japan-sale-kegalle-11231917
Toyota Prius 4th Gen Safety 2016 Car (Used),"Rs. 13,975,000",Toyota,Prius 4th Gen Safety,2016,110000,Automatic,Hybrid,1800,https://riyasewana.com/buy/toyota-prius-4th-sale-colombo-11241262
Toyota Aqua X Urban 2015 Car (Used),"Rs. 8,550,000",,,,,,,,https://riyasewana.com/buy/toyota-aqua-x-sale-wennappuwa-11231897
Toyota Corona CE 190 1995 Car (Used),Negotiable,,,,,,,,https://riyasewana.com/buy/toyota-corona-ce-sale-ja-ela-11231892
Toyota Prius S Touring 2014 Car (Used),Negotiable,Toyota,Prius S Touring,2014,135000,Automatic,Hybrid,1800,https://riyasewana.com/buy/toyota-prius-s-sale-kuliyapitiya-11241255
Micro Panda 1.0 2015 Car (Used),"Rs. 3,200,000",Micro,Panda 1.0,2015,90000,Manual,Petrol,1000,https://riyasewana.com/buy/micro-panda-1-0-sale-bandaragama-11241257
Audi A6 2012 Car (Used),"Rs. 12,850,000",,,,,,,,https://riyasewana.com/buy/audi-a6-sale-malabe-11231872
Suzuki Wagon R FZ 2018 Car (Used),Negotiable,Suzuki,Wagon R FZ,2018,85000,Automatic,Petrol,650,https://riyasewana.com/buy/suzuki-wagon-r-sale-malabe-11241252
Mitsubishi Lancer Wagon 1984 Car (Used),Negotiable,,,,,,,,https://riyasewana.com/buy/mitsubishi-lancer-wagon-sale-horana-11231868
Suzuki Wagon R FZ 2014 Car (Used),Negotiable,Suzuki,Wagon R FZ,2014,78500,Automatic,Petrol,650,https://riyasewana.com/buy/suzuki-wagon-r-sale-malabe-11241247
Nissan March K11 2001 Car (Used),"Rs. 3,400,000",Nissan,March K11,2001,65000,Automatic,Petrol,1000,https://riyasewana.com/buy/nissan-march-k11-sale-dehiwala-mount-lavinia-11241238
Suzuki Wagon R Stingray 2014 Car (Used),"Rs. 5,990,000",Suzuki,Wagon R Stingray,2014,90600,Automatic,Petrol,650,https://riyasewana.com/buy/suzuki-wagon-r-sale-malabe-11241240
Suzuki Wagon R Stingray 2015 Car (Used),"Rs. 6,275,000",Suzuki,Wagon R Stingray,2015,68250,Automatic,Petrol,650,https://riyasewana.com/buy/suzuki-wagon-r-sale-malabe-11241233
Suzuki Wagon R Stingray 2015 Car (Used),"Rs. 6,090,000",Suzuki,Wagon R Stingray,2015,91000,Automatic,Petrol,650,https://riyasewana.com/buy/suzuki-wagon-r-sale-malabe-11241228
Toyota Spenter 1991 Car (Used),"Rs. 1,850,000",Toyota,Spenter,1991,-,Manual,Diesel,1500,https://riyasewana.com/buy/toyota-spenter-sale-gampaha-11241226
Perodua Viva Elite 2010 Car (Used),"Rs. 4,200,000",Perodua,Viva Elite,2010,114000,Automatic,Petrol,1000,https://riyasewana.com/buy/perodua-viva-elite-sale-gampaha-11241227
Suzuki Swift RS 2017 Car (Used),"Rs. 8,290,000",Suzuki,Swift RS,2017,131077,Automatic,Petrol,990,https://riyasewana.com/buy/suzuki-swift-rs-sale-malabe-11241225
Honda Fit GE6 I-Vtec 2008 Car (Used),Negotiable,,,,,,,,https://riyasewana.com/buy/honda-fit-ge6-sale-nawala-11245673
Toyota Corolla 110CE 1998 Car (Used),"Rs. 3,095,000",,,,,,,,https://riyasewana.com/buy/toyota-corolla-110ce-sale-embilipitiya-11241326
Toyota Prius S Touring My Coordination 2014 Car (Used),"Rs. 10,800,000",,,,,,,,https://riyasewana.com/buy/toyota-prius-s-sale-malabe-11215051
Honda Stream Seven Seater 2007 Car (Used),"Rs. 6,350,000",,,,,,,,https://riyasewana.com/buy/honda-stream-seven-sale-dehiwala-mount-lavinia-11231865
Daihatsu Mira L Grade 2025 Car Unregistered (Recondition),"Rs. 6,270,000",,,,,,,,https://riyasewana.com/buy/daihatsu-mira-l-sale-gampaha-11235205
Honda Fit Shuttle GP2 2015 Car (Used),"Rs. 8,975,000",,,,,,,,https://riyasewana.com/buy/honda-fit-shuttle-sale-kalutara-11231862
Suzuki Zen 2004 Car (Used),"Rs. 2,350,000",,,,,,,,https://riyasewana.com/buy/suzuki-zen-sale-beruwala-11231859
Perodua Viva Elite 2011 Car (Used),"Rs. 3,950,000",,,,,,,,https://riyasewana.com/buy/perodua-viva-elite-sale-kalutara-11231846
Nissan N16 2000 Car (Used),"Rs. 3,950,000",,,,,,,,https://riyasewana.com/buy/nissan-n16-sale-gampaha-11231857
Nissan Hb11 1994 Car (Used),Negotiable,,,,,,,,https://riyasewana.com/buy/nissan-hb11-sale-minuwangoda-11231824
Toyota Axio G Grade 2006 Car (Used),"Rs. 6,950,000",Toyota,Axio G Grade,2006,131000,Automatic,Petrol,1490,https://riyasewana.com/buy/toyota-axio-g-sale-panadura-11239253
Daihatsu Mira L Safety 2024 Car Unregistered (Recondition),"Rs. 6,375,000",Daihatsu,Mira L Safety,2024,265,Automatic,Petrol,660,https://riyasewana.com/buy/daihatsu-mira-l-sale-dehiwala-mount-lavinia-11206290
Toyota Premio 2007 Car (Used),"Rs. 8,675,000",Toyota,Premio,2007,146038,Automatic,Petrol,1490,https://riyasewana.com/buy/toyota-premio-sale-kelaniya-11220832
Honda Grace 2015 Car (Used),"Rs. 8,900,000",Honda,Grace,2015,135000,Automatic,Hybrid,1500,https://riyasewana.com/buy/honda-grace-sale-colombo-11238336
Toyota Axio 2007 Car (Used),"Rs. 6,575,000",Toyota,Axio,2007,210000,Automatic,Petrol,1500,https://riyasewana.com/buy/toyota-axio-sale-anuradapura-11241224
Audi A3 Sedan 2016 Car (Used),Negotiable,,,,,,,,https://riyasewana.com/buy/audi-a3-sedan-sale-horana-11231817
Mitsubishi Lancer Box 1983 Car (Used),Negotiable,,,,,,,,https://riyasewana.com/buy/mitsubishi-lancer-box-sale-kandy-11231808
Toyota Axio 2012 Car (Used),Negotiable,,,,,,,,https://riyasewana.com/buy/toyota-axio-sale-galle-11231816
Suzuki Wagon R FZ 2018 Car (Used),"Rs. 6,790,000",Suzuki,Wagon R FZ,2018,92644,Automatic,Hybrid,650,https://riyasewana.com/buy/suzuki-wagon-r-sale-malabe-11241219
Honda Civic FD3 2010 Car (Used),"Rs. 6,590,000",,,,,,,,https://riyasewana.com/buy/honda-civic-fd3-sale-piliyandala-11231792
Nissan FB15 2003 Car (Used),"Rs. 4,600,000",,,,,,,,https://riyasewana.com/buy/nissan-fb15-sale-panadura-11231800
Suzuki Alto 2011 Car (Used),"Rs. 3,200,000",Suzuki,Alto,2011,92000,Manual,Petrol,800,https://riyasewana.com/buy/suzuki-alto-sale-gampaha-11241216
Toyota PREMIO G SUPERIOR 260 2019 Car (Used),Negotiable,,,,,,,,https://riyasewana.com/buy/toyota-premio-g-sale-dehiwala-mount-lavinia-11231790
Suzuki WAGON R FX 2024 Car (Used),"Rs. 7,775,000",Suzuki,WAGON R FX,2024,1107,Automatic,Petrol,650,https://riyasewana.com/buy/suzuki-wagon-r-sale-malabe-11241223
Nissan March K11 MIA 2001 Car (Used),"Rs. 3,300,000",Nissan,March K11 MIA,2001,165000,Automatic,Petrol,1000,https://riyasewana.com/buy/nissan-march-k11-sale-kottawa-11241221
Suzuki WAGON R FX 2023 Car (Used),"Rs. 7,775,000",Suzuki,WAGON R FX,2023,3872,Automatic,Petrol,650,https://riyasewana.com/buy/suzuki-wagon-r-sale-malabe-11241211
Toyota Vitz 2011 Car (Used),"Rs. 6,150,000",,,,,,,,https://riyasewana.com/buy/toyota-vitz-sale-matara-11231783
Toyota Premio G Superior 2015 Car (Used),"Rs. 11,490,000",,,,,,,,https://riyasewana.com/buy/toyota-premio-g-sale-colombo-11231781
Mazda Familia 323 GXL 1988 Car (Used),"Rs. 1,050,000",Mazda,Familia 323 GXL,1988,254631,Automatic,Petrol,1500,https://riyasewana.com/buy/mazda-familia-323-sale-minuwangoda-11241198
Tata Nano 2011 Car (Used),Negotiable,,,,,,,,https://riyasewana.com/buy/tata-nano-sale-minuwangoda-11231777
Nissan FB14 1996 Car (Used),"Rs. 3,300,000",,,,,,,,https://riyasewana.com/buy/nissan-fb14-sale-kurunegala-11231775
Honda Insight 2009 Car (Used),"Rs. 7,650,000",Honda,Insight,2009,107129,Automatic,Petrol,1330,https://riyasewana.com/buy/honda-insight-sale-malabe-11241178
Suzuki Alto 2014 Car (Used),"Rs. 3,495,000",,,,,,,,https://riyasewana.com/buy/suzuki-alto-sale-kurunegala-11231773
Honda Civic 2008 Car (Used),"Rs. 6,500,000",Honda,Civic,2008,164386,Automatic,Petrol,1330,https://riyasewana.com/buy/honda-civic-sale-malabe-11241175
Toyota Prius Alpha 2013 Car (Used),"Rs. 10,500,000",Toyota,Prius Alpha,2013,43423,Automatic,Hybrid,1790,https://riyasewana.com/buy/toyota-prius-alpha-sale-malabe-11241171
Suzuki Hustler 2015 Car (Used),"Rs. 5,890,000",Suzuki,Hustler,2015,96916,Automatic,Hybrid,650,https://riyasewana.com/buy/suzuki-hustler-sale-malabe-11241163
Mazda Familia BJ5 2001 Car (Used),"Rs. 3,850,000",,,,,,,,https://riyasewana.com/buy/mazda-familia-bj5-sale-kurunegala-11231771
Toyota Yaris 2007 Car (Used),"Rs. 6,000,000",,,,,,,,https://riyasewana.com/buy/toyota-yaris-sale-colombo-11231757
Suzuki Alto 2015 Car (Used),Negotiable,,,,,,,,https://riyasewana.com/buy/suzuki-alto-sale-ampara-11231749
Nissan March 2004 Car (Used),"Rs. 3,475,000",Nissan,March,2004,133000,Automatic,Petrol,1000,https://riyasewana.com/buy/nissan-march-sale-colombo-11241156
Mazda 2 Skyactiv 2016 Car (Used),"Rs. 7,695,000",Mazda,2 Skyactiv,2016,129000,Automatic,Petrol,1500,https://riyasewana.com/buy/mazda-2-skyactiv-sale-nugegoda-11241154
Nissan AD Wagon 2000 Car (Used),"Rs. 3,195,000",,,,,,,,https://riyasewana.com/buy/nissan-ad-wagon-sale-bandaragama-11231750
Nissan Tiida LATIO 2007 Car (Used),"Rs. 5,390,000",,,,,,,,https://riyasewana.com/buy/nissan-tiida-latio-sale-malabe-11231742
Nissan March K11 1996 Car (Used),"Rs. 3,285,000",Nissan,March K11,1996,161800,Manual,Petrol,1270,https://riyasewana.com/buy/nissan-march-k11-sale-homagama-11241149
Toyota Passo Hana Kgc 30 2010 Car (Used),Negotiable,Toyota,Passo Hana Kgc 30,2010,116000,Automatic,Petrol,1000,https://riyasewana.com/buy/toyota-passo-hana-sale-matale-11241141
Suzuki Alto 2015 Car (Used),"Rs. 3,585,000",Suzuki,Alto,2015,79000,Manual,Petrol,800,https://riyasewana.com/buy/suzuki-alto-sale-kurunegala-11241139
Micro Panda 2017 Car (Used),Negotiable,,,,,,,,https://riyasewana.com/buy/micro-panda-sale-panadura-11231735
Perodua Kenari 2007 Car (Used),"Rs. 3,595,000",,,,,,,,https://riyasewana.com/buy/perodua-kenari-sale-panadura-11231725
Tata Indica Xeta Glx 2015 Car (Used),"Rs. 2,700,000",Tata,Indica Xeta Glx,2015,155000,Manual,Petrol,1193,https://riyasewana.com/buy/tata-indica-xeta-sale-mirigama-11241137
Renault Kwid 2016 Car (Used),"Rs. 3,600,000",Renault,Kwid,2016,100553,Manual,Petrol,800,https://riyasewana.com/buy/renault-kwid-sale-piliyandala-11241135
Toyota Carina Ti Myroad 1998 Car (Used),"Rs. 5,200,000",,,,,,,,https://riyasewana.com/buy/toyota-carina-ti-sale-anuradapura-11231721
Toyota Carina 212 TI MyRoad 1997 Car (Used),"Rs. 4,790,000",,,,,,,,https://riyasewana.com/buy/toyota-carina-212-sale-malabe-11231732
Toyota Axio 141 2011 Car (Used),"Rs. 7,990,000",,,,,,,,https://riyasewana.com/buy/toyota-axio-141-sale-colombo-11231719
Mazda Familia BJ5P 2002 Car (Used),Negotiable,Mazda,Familia BJ5P,2002,198000,Automatic,Petrol,1500,https://riyasewana.com/buy/mazda-familia-bj5p-sale-piliyandala-11241130
Toyota CARID 1997 Car (Used),"Rs. 3,075,000",Toyota,CARID,1997,215969,Manual,Petrol,1580,https://riyasewana.com/buy/toyota-carid-sale-homagama-11241132
Honda Civic ES1 V-TEC 2002 Car (Used),"Rs. 5,390,000",,,,,,,,https://riyasewana.com/buy/honda-civic-es1-sale-malabe-11231711
Suzuki Wagon R 2018 Car (Used),"Rs. 5,850,000",Suzuki,Wagon R,2018,75000,Automatic,Hybrid,650,https://riyasewana.com/buy/suzuki-wagon-r-sale-kandy-11241127
Nissan March 1997 Car (Used),"Rs. 2,645,000",,,,,,,,https://riyasewana.com/buy/nissan-march-sale-bandaragama-11231712
Toyota 110 1998 Car (Used),"Rs. 3,300,000",,,,,,,,https://riyasewana.com/buy/toyota-110-sale-gampaha-11231707
Micro Panda 2012 Car (Used),"Rs. 2,495,000",,,,,,,,https://riyasewana.com/buy/micro-panda-sale-panadura-11231705
Suzuki Celerio 2014 Car (Used),"Rs. 4,950,000",,,,,,,,https://riyasewana.com/buy/suzuki-celerio-sale-galle-11231704
Toyota Roomy X 2023 Car (Used),"Rs. 8,300,000",Toyota,Roomy X,2023,90000,Automatic,Petrol,650,https://riyasewana.com/buy/toyota-roomy-x-sale-mawanella-11241124
Micro MX7 2012 Car (Used),"Rs. 3,295,000",,,,,,,,https://riyasewana.com/buy/micro-mx7-sale-panadura-11231687
Suzuki Maruti 2008 Car (Used),"Rs. 2,250,000",Suzuki,Maruti,2008,108000,Manual,Petrol,800,https://riyasewana.com/buy/suzuki-maruti-sale-kegalle-11241121
Volvo S40 1999 Car (Used),"Rs. 2,695,000",Volvo,S40,1999,71000,Manual,Petrol,1948,https://riyasewana.com/buy/volvo-s40-sale-homagama-11241119
Perodua Axia 2016 Car (Used),"Rs. 5,750,000",Perodua,Axia,2016,152800,Automatic,Petrol,1000,https://riyasewana.com/buy/perodua-axia-sale-moratuwa-11241117
Volkswagen Beetle 1985 Car (Used),Negotiable,Volkswagen,Beetle,1985,-,Manual,Petrol,1300,https://riyasewana.com/buy/volkswagen-beetle-sale-kandy-11241097
Honda Freed 2012 Car (Used),"Rs. 8,450,000",,,,,,,,https://riyasewana.com/buy/honda-freed-sale-colombo-11231686
Toyota Prius 2009 Car (Used),"Rs. 8,995,000",,,,,,,,https://riyasewana.com/buy/toyota-prius-sale-bandaragama-11231680
Toyota Yaris 2007 Car (Used),"Rs. 6,250,000",Toyota,Yaris,2007,143732,Automatic,Petrol,1300,https://riyasewana.com/buy/toyota-yaris-sale-battaramulla-11241093
Mitsubishi Lancer Ck1 2000 Car (Used),"Rs. 1,300,000",,,,,,,,https://riyasewana.com/buy/mitsubishi-lancer-ck1-sale-katunayake-11231663
Suzuki Alto Japan 2000 Car (Used),"Rs. 2,995,000",,,,,,,,https://riyasewana.com/buy/suzuki-alto-japan-sale-panadura-11231666
BMW 520D 2014 Car (Used),Negotiable,,,,,,,,https://riyasewana.com/buy/bmw-520d-sale-homagama-11231650
Suzuki Alto Lxi 2014 Car (Used),"Rs. 3,450,000",Suzuki,Alto Lxi,2014,84000,Manual,Petrol,800,https://riyasewana.com/buy/suzuki-alto-lxi-sale-moneragala-11241095
Suzuki Alto 2016 Car (Used),"Rs. 3,800,000",Suzuki,Alto,2016,100000,Manual,Petrol,800,https://riyasewana.com/buy/suzuki-alto-sale-colombo-11241088
Nissan Cefiro A33 2001 Car (Used),Negotiable,Nissan,Cefiro A33,2001,259000,Automatic,Petrol,2000,https://riyasewana.com/buy/nissan-cefiro-a33-sale-nittambuwa-11241089
Toyota Axio G Grade 2013 Car (Used),"Rs. 8,500,000",Toyota,Axio G Grade,2013,-,Automatic,Hybrid,1500,https://riyasewana.com/buy/toyota-axio-g-sale-hambantota-11241086
Honda Grace 2016 Car (Used),"Rs. 8,550,000",,,,,,,,https://riyasewana.com/buy/honda-grace-sale-kandy-11231649
Perodua Bezza 2018 Car (Used),"Rs. 6,950,000",Perodua,Bezza,2018,60000,Automatic,Petrol,-,https://riyasewana.com/buy/perodua-bezza-sale-kadawatha-11241082
Suzuki Alto 2015 Car (Used),"Rs. 3,575,000",,,,,,,,https://riyasewana.com/buy/suzuki-alto-sale-matale-11231642
Toyota Premio G Superior 2017 Car (Used),Negotiable,Toyota,Premio G Superior,2017,43000,Automatic,Petrol,1500,https://riyasewana.com/buy/toyota-premio-g-sale-wattala-11241075
Suzuki Maruti 2011 Car (Used),"Rs. 2,475,000",Suzuki,Maruti,2011,20000,Manual,Petrol,800,https://riyasewana.com/buy/suzuki-maruti-sale-kurunegala-11241049
Toyota Axio 2008 Car (Used),"Rs. 7,800,000",Toyota,Axio,2008,230000,Automatic,Petrol,1500,https://riyasewana.com/buy/toyota-axio-sale-anuradapura-11241062
Toyota Allion 260 2010 Car (Used),"Rs. 8,975,000",Toyota,Allion 260,2010,169000,Automatic,Petrol,1500,https://riyasewana.com/buy/toyota-allion-260-sale-homagama-11241079
Toyota Prius 2013 Car (Used),Negotiable,Toyota,Prius,2013,-,Automatic,Petrol,-,https://riyasewana.com/buy/toyota-prius-sale-galle-11241041
Nissan HB11 1985 Car (Used),"Rs. 840,000",Nissan,HB11,1985,1,Manual,Petrol,1500,https://riyasewana.com/buy/nissan-hb11-sale-gampaha-11241048
Mitsubishi Galant Sigma 1982 Car (Used),"Rs. 755,000",Mitsubishi,Galant Sigma,1982,12345,Manual,Diesel,1830,https://riyasewana.com/buy/mitsubishi-galant-sigma-sale-nuwara-eliya-11241037
Nissan AD Wagon 1983 Car (Used),"Rs. 575,000",Nissan,AD Wagon,1983,-,Manual,Petrol,1300,https://riyasewana.com/buy/nissan-ad-wagon-sale-kelaniya-11241035
Nissan Cefiro J31 2007 Car (Used),"Rs. 6,075,000",,,,,,,,https://riyasewana.com/buy/nissan-cefiro-j31-sale-colombo-11238020
Suzuki Swift Kei Japan 2008 Car (Used),"Rs. 4,000,000",,,,,,,,https://riyasewana.com/buy/suzuki-swift-kei-sale-kadawatha-11244108
Mercedes-Benz S300 2010 Car (Used),"Rs. 19,500,000",,,,,,,,https://riyasewana.com/buy/mercedes-benz-s300-sale-wattala-11238835
Suzuki Spacia 2023 Car Unregistered (Recondition),"Rs. 8,200,000",,,,,,,,https://riyasewana.com/buy/suzuki-spacia-sale-polgahawela-11229705
Toyota Corolla NZE121 2005 Car (Used),"Rs. 5,875,000",,,,,,,,https://riyasewana.com/buy/toyota-corolla-nze121-sale-maharagama-11231641
Mercedes-Benz W211 E220 2006 Car (Used),"Rs. 8,500,000",Mercedes-Benz,W211 E220,2006,220000,Automatic,Diesel,2148,https://riyasewana.com/buy/mercedes-benz-w211-e220-sale-wennappuwa-11243226
Suzuki Swift RS 2017 Car (Used),"Rs. 7,900,000",Suzuki,Swift RS,2017,94150,Automatic,Hybrid,1240,https://riyasewana.com/buy/suzuki-swift-rs-sale-boralesgamuwa-11243406
Hyundai I10 2016 Car (Used),"Rs. 5,050,000",Hyundai,I10,2016,97300,Automatic,Petrol,1000,https://riyasewana.com/buy/hyundai-i10-sale-colombo-11243487
Hyundai Grand I10 2016 Car (Used),"Rs. 5,500,000",Hyundai,Grand I10,2016,95500,Automatic,Petrol,998,https://riyasewana.com/buy/hyundai-grand-i10-sale-dehiwala-mount-lavinia-11246731
Suzuki Swift RS Turbo 2018 Car (Used),"Rs. 8,400,000",Suzuki,Swift RS Turbo,2018,96000,Automatic,Petrol,10000,https://riyasewana.com/buy/suzuki-swift-rs-sale-nawala-11241034
Suzuki Swift RS 2017 Car (Used),"Rs. 8,600,000",Suzuki,Swift RS,2017,54000,Automatic,Hybrid,1240,https://riyasewana.com/buy/suzuki-swift-rs-sale-colombo-11241020
Nissan B12 1989 Car (Used),"Rs. 1,600,000",,,,,,,,https://riyasewana.com/buy/nissan-b12-sale-balangoda-11231623
Toyota Vitz Edition 3 2019 Car (Used),"Rs. 8,650,000",,,,,,,,https://riyasewana.com/buy/toyota-vitz-edition-sale-colombo-11231633
Toyota Corolla 121 2001 Car (Used),"Rs. 4,990,000",,,,,,,,https://riyasewana.com/buy/toyota-corolla-121-sale-embilipitiya-11231636
Perodua Bezza 2018 Car (Used),"Rs. 6,350,000",,,,,,,,https://riyasewana.com/buy/perodua-bezza-sale-katunayake-11231620
Peugeot 406 2003 Car (Used),Negotiable,,,,,,,,https://riyasewana.com/buy/peugeot-406-sale-colombo-11231622
Toyota Vitz 2008 Car (Used),"Rs. 5,160,000",Toyota,Vitz,2008,72000,Automatic,Petrol,1000,https://riyasewana.com/buy/toyota-vitz-sale-kurunegala-11241025
Suzuki Wagon R Stingray 2018 Car (Used),"Rs. 6,885,000",Suzuki,Wagon R Stingray,2018,80634,Automatic,Hybrid,650,https://riyasewana.com/buy/suzuki-wagon-r-sale-moratuwa-11241012
Mercedes-Benz C200 Luxury 2025 Car (Used),"Rs. 48,500,000",Mercedes-Benz,C200 Luxury,2025,350,Automatic,Petrol,1500,https://riyasewana.com/buy/mercedes-benz-c200-luxury-sale-kandana-11241031
Suzuki SWIFT 2008 Car (Used),"Rs. 4,550,000",Suzuki,SWIFT,2008,117000,Manual,Petrol,1300,https://riyasewana.com/buy/suzuki-swift-sale-kelaniya-11241006
Toyota Starlet Ep82 1995 Car (Used),"Rs. 2,875,000",Toyota,Starlet Ep82,1995,1760000,Automatic,Petrol,1330,https://riyasewana.com/buy/toyota-starlet-ep82-sale-pannala-11240999
Suzuki Alto K10 2011 Car (Used),"Rs. 3,090,000",,,,,,,,https://riyasewana.com/buy/suzuki-alto-k10-sale-gampaha-11231578
Suzuki Swift 2010 Car (Used),"Rs. 4,500,000",,,,,,,,https://riyasewana.com/buy/suzuki-swift-sale-kuliyapitiya-11231579
Toyota Axio 2007 Car (Used),"Rs. 7,075,000",,,,,,,,https://riyasewana.com/buy/toyota-axio-sale-gampaha-11231599
Suzuki Alto K10 2011 Car (Used),Negotiable,,,,,,,,https://riyasewana.com/buy/suzuki-alto-k10-sale-kandy-11231574
Toyota Premio G Superior 2013 Car (Used),Negotiable,,,,,,,,https://riyasewana.com/buy/toyota-premio-g-sale-colombo-11231561
Suzuki Spacia 2023 Car (Used),"Rs. 8,775,000",Suzuki,Spacia,2023,4800,Automatic,Hybrid,660,https://riyasewana.com/buy/suzuki-spacia-sale-badulla-11240996
